"submission_id","QUD","RT","age","education","emoji_attitude","emoji_understanding","emoji_use","endTime","gender","languages","name","option1","option2","participant_id","picture1","picture2","platform","question","response","startDate","startTime","timeSpent","trial_name","trial_number","whatsapp"
686,"Alex schreibt seinem besten Freund Stefan: <br> <br> <img src=""all_images/party.jpg"", height=340px>",9498,35,"Hochschulabschluss","positiv","eher gut","oft",1679055010651,"weiblich","Deutsch","filler-party","pouting_face","smiling_face_with_heart_eyes",193180216,"all_images/pouting-face_1f621.png","all_images/smiling-face-with-heart-eyes_1f60d.png","android","Alex ist wütend. <br> Welches der beiden Emojis passt besser zur Nachricht?","pouting_face","Fri Mar 17 2023 13:04:49 GMT+0100 (Mitteleuropäische Normalzeit)",1679054689846,5.34675,"choose_emoji_one",1,"multiple times"
686,"Alex schreibt seinem besten Freund Stefan: <br> <br> <img src=""all_images/AU-23-L1.jpg"", height=340px>",8497,35,"Hochschulabschluss","positiv","eher gut","oft",1679055010651,"weiblich","Deutsch","AU-23-L1","neutral_face","expressionless_face",193180216,"all_images/neutral-face_1f610.png","all_images/expressionless-face_1f611.png","android","Alex ärgert sich. <br> Welches der beiden Emojis passt besser zur Nachricht?","expressionless_face","Fri Mar 17 2023 13:04:49 GMT+0100 (Mitteleuropäische Normalzeit)",1679054689846,5.34675,"choose_emoji_two",1,"multiple times"
686,"Alex schreibt seinem besten Freund Stefan: <br> <br> <img src=""all_images/heizung.jpg"", height=340px>",4813,35,"Hochschulabschluss","positiv","eher gut","oft",1679055010651,"weiblich","Deutsch","filler-heizung","cowboy_hat_face","cold_face",193180216,"all_images/cowboy-hat-face_1f920.png","all_images/cold-face_1f976.png","android","Alex friert fürchterlich. <br> Welches der beiden Emojis passt besser zur Nachricht?","cold_face","Fri Mar 17 2023 13:04:49 GMT+0100 (Mitteleuropäische Normalzeit)",1679054689846,5.34675,"choose_emoji_two",2,"multiple times"
686,"Alex schreibt seinem besten Freund Stefan: <br> <br> <img src=""all_images/AU-40-L1.jpg"", height=340px>",7306,35,"Hochschulabschluss","positiv","eher gut","oft",1679055010651,"weiblich","Deutsch","AU-40-L1","hushed_face","astonished_face",193180216,"all_images/hushed-face_1f62f.png","all_images/astonished-face_1f632.png","android","Alex macht sich Sorgen. <br> Welches der beiden Emojis passt besser zur Nachricht?","astonished_face","Fri Mar 17 2023 13:04:49 GMT+0100 (Mitteleuropäische Normalzeit)",1679054689846,5.34675,"choose_emoji_two",3,"multiple times"
686,"Alex schreibt seinem besten Freund Stefan: <br> <br> <img src=""all_images/schlafen.jpg"", height=340px>",3411,35,"Hochschulabschluss","positiv","eher gut","oft",1679055010651,"weiblich","Deutsch","filler-schlafen","money_mouth_face","sleeping_face",193180216,"all_images/money-mouth-face_1f911.png","all_images/sleeping-face_1f634.png","android","Alex ist sehr müde. <br> Welches der beiden Emojis passt besser zur Nachricht?","sleeping_face","Fri Mar 17 2023 13:04:49 GMT+0100 (Mitteleuropäische Normalzeit)",1679054689846,5.34675,"choose_emoji_two",4,"multiple times"
686,"Alex schreibt seinem besten Freund Stefan: <br> <br> <img src=""all_images/krank.jpg"", height=340px>",3255,35,"Hochschulabschluss","positiv","eher gut","oft",1679055010651,"weiblich","Deutsch","filler-krank","sneezing_face","disguised_face",193180216,"all_images/sneezing-face_1f927.png","all_images/disguised-face_1f978.png","android","Alex hat sich erkältet. <br> Welches der beiden Emojis passt besser zur Nachricht?","sneezing_face","Fri Mar 17 2023 13:04:49 GMT+0100 (Mitteleuropäische Normalzeit)",1679054689846,5.34675,"choose_emoji_two",5,"multiple times"
686,"Alex schreibt seinem besten Freund Stefan: <br> <br> <img src=""all_images/N-04-L1.jpg"", height=340px>",5873,35,"Hochschulabschluss","positiv","eher gut","oft",1679055010651,"weiblich","Deutsch","N-04-L1","grinning_face_with_smiling_eyes","beaming_face_with_smiling_eyes",193180216,"all_images/grinning-face-with-smiling-eyes_1f604.png","all_images/beaming-face-with-smiling-eyes_1f601.png","android","Alex amüsiert sich. <br> Welches der beiden Emojis passt besser zur Nachricht?","grinning_face_with_smiling_eyes","Fri Mar 17 2023 13:04:49 GMT+0100 (Mitteleuropäische Normalzeit)",1679054689846,5.34675,"choose_emoji_two",6,"multiple times"
686,"Alex schreibt seinem besten Freund Stefan:<br> <br> <img src=""all_images/friseur.jpg"", height=340px>",4342,35,"Hochschulabschluss","positiv","eher gut","oft",1679055010651,"weiblich","Deutsch","filler-friseur","pig_nose","man_haircut",193180216,"all_images/pig-nose_1f43d.png","all_images/man-getting-haircut_1f487-200d-2642-fe0f.png","android","Alex ist unzufrieden mit seinen Haaren. <br> Welches der beiden Emojis passt besser zur Nachricht?","man_haircut","Fri Mar 17 2023 13:04:49 GMT+0100 (Mitteleuropäische Normalzeit)",1679054689846,5.34675,"choose_emoji_two",7,"multiple times"
686,"Alex schreibt seinem besten Freund Stefan: <br> <br> <img src=""all_images/N-37-L1.jpg"", height=340px>",5100,35,"Hochschulabschluss","positiv","eher gut","oft",1679055010651,"weiblich","Deutsch","N-37-L1","slightly_frowning_face","frowning_face",193180216,"all_images/slightly-frowning-face_1f641.png","all_images/frowning-face_2639-fe0f.png","android","Alex ist enttäuscht. <br> Welches der beiden Emojis passt besser zur Nachricht?","frowning_face","Fri Mar 17 2023 13:04:49 GMT+0100 (Mitteleuropäische Normalzeit)",1679054689846,5.34675,"choose_emoji_two",8,"multiple times"
686,"Alex schreibt seinem besten Freund Stefan: <br> <br> <img src=""all_images/zombie.jpg"", height=340px>",4598,35,"Hochschulabschluss","positiv","eher gut","oft",1679055010651,"weiblich","Deutsch","filler-zombie","woman_zombie","basketball",193180216,"all_images/woman-zombie_1f9df-200d-2640-fe0f.png","all_images/basketball_1f3c0.png","android","Alex möchte den neuen Zombie-Film schauen. <br> Welches der beiden Emojis passt besser zur Nachricht?","woman_zombie","Fri Mar 17 2023 13:04:49 GMT+0100 (Mitteleuropäische Normalzeit)",1679054689846,5.34675,"choose_emoji_two",9,"multiple times"
